new_geneID	originalID	chromosome	start	end	strand
contig_1	MRS000001	MRS.Chr	1	1404	+
contig_2	MRS000002	MRS.Chr	1609	2739	+
contig_3	MRS000003	MRS.Chr	2929	3171	+
contig_4	MRS000004	MRS.Chr	3171	4322	+
contig_5	MRS000005	MRS.Chr	4346	6292	+
contig_6	MRS000006	MRS.Chr	6329	8905	+
contig_7	MRS000007	MRS.Chr	9155	10570	+
contig_8	MRS000008	MRS.Chr	10597	10848	-
contig_9	MRS000009	MRS.Chr	11651	12421	+
contig_10	MRS000010	MRS.Chr	12471	13553	+
contig_11	MRS000011	MRS.Chr	13543	14217	+
contig_12	MRS000012	MRS.Chr	14264	15127	+
contig_13	MRS000013	MRS.Chr	15184	15687	-
contig_14	MRS000014	MRS.Chr	15812	18187	+
contig_15	MRS000015	MRS.Chr	18341	19612	+
contig_16	MRS000016	MRS.Chr	19767	20735	+
contig_17	MRS000017	MRS.Chr	20810	21256	-
contig_18	MRS000018	MRS.Chr	21379	23586	+
contig_19	MRS000019	MRS.Chr	23825	24298	+
contig_20	MRS000020	MRS.Chr	24480	25745	+
contig_21	MRS000021	MRS.Chr	25762	26712	+
contig_22	MRS000022	MRS.Chr	26722	27423	+
contig_23	MRS000023	MRS.Chr	28350	28583	+
contig_24	MRS000024	MRS.Chr	28580	28729	+
contig_25	MRS000025	MRS.Chr	31418	31660	+
contig_26	MRS000026	MRS.Chr	32280	32609	+
contig_27	MRS000027	MRS.Chr	33239	33853	-
contig_28	MRS000028	MRS.Chr	34077	36080	+
contig_29	MRS000029	MRS.Chr	36173	38122	+
contig_30	MRS000030	MRS.Chr	38289	39098	+
contig_31	MRS000031	MRS.Chr	39099	39656	+
contig_32	MRS000032	MRS.Chr	39656	40552	+
contig_33	MRS000033	MRS.Chr	40603	41979	+
contig_34	MRS000034	MRS.Chr	42122	43429	+
contig_35	MRS000035	MRS.Chr	43602	43835	-
contig_36	MRS000036	MRS.Chr	44164	44637	+
contig_37	MRS000037	MRS.Chr	44658	45614	+
contig_38	MRS000038	MRS.Chr	45803	47149	+
contig_39	MRS000039	MRS.Chr	47288	48628	-
contig_40	MRS000040	MRS.Chr	48641	50713	-
contig_41	MRS000041	MRS.Chr	50869	51747	+
contig_42	MRS000042	MRS.Chr	51941	52873	+
contig_43	MRS000043	MRS.Chr	52997	53761	+
contig_44	MRS000044	MRS.Chr	53765	54547	+
contig_45	MRS000045	MRS.Chr	54547	55341	+
contig_46	MRS000046	MRS.Chr	55422	56975	+
contig_47	MRS000047	MRS.Chr	57137	57781	+
contig_48	MRS000048	MRS.Chr	58168	59076	+
contig_49	MRS000049	MRS.Chr	59308	59595	+
contig_50	MRS000050	MRS.Chr	59736	61070	-
contig_51	MRS000051	MRS.Chr	61344	62111	+
contig_52	MRS000052	MRS.Chr	62112	62567	+
contig_53	MRS000053	MRS.Chr	62635	62991	+
contig_54	MRS000054	MRS.Chr	63060	63737	-
contig_55	MRS000055	MRS.Chr	63856	64134	-
contig_56	MRS000056	MRS.Chr	64253	64576	+
contig_57	MRS000057	MRS.Chr	64566	65201	+
contig_58	MRS000058	MRS.Chr	65194	66135	+
contig_59	MRS000059	MRS.Chr	66155	66718	+
contig_60	MRS000060	MRS.Chr	66976	67851	-
contig_61	MRS000061	MRS.Chr	68049	68447	+
contig_62	MRS000062	MRS.Chr	68717	70102	+
contig_63	MRS000063	MRS.Chr	70184	70633	+
contig_64	MRS000064	MRS.Chr	71103	72434	-
contig_65	MRS000065	MRS.Chr	72533	73210	-
contig_66	MRS000066	MRS.Chr	73343	73912	+
contig_67	MRS000067	MRS.Chr	73940	74440	+
contig_68	MRS000068	MRS.Chr	74469	74912	+
contig_69	MRS000069	MRS.Chr	74913	75815	-
contig_70	MRS000070	MRS.Chr	76118	77134	+
contig_71	MRS000071	MRS.Chr	77131	78078	+
contig_72	MRS000072	MRS.Chr	78085	79041	+
contig_73	MRS000073	MRS.Chr	79058	80002	+
contig_74	MRS000074	MRS.Chr	80120	81925	+
contig_75	MRS000075	MRS.Chr	82180	82992	+
contig_76	MRS000076	MRS.Chr	83038	83280	+
contig_77	MRS000077	MRS.Chr	83409	84080	+
contig_78	MRS000078	MRS.Chr	84130	84774	+
contig_79	MRS000079	MRS.Chr	84883	85320	-
contig_80	MRS000080	MRS.Chr	85470	85850	+
contig_81	MRS000081	MRS.Chr	85884	86207	+
contig_82	MRS000082	MRS.Chr	86232	86642	+
contig_83	MRS000083	MRS.Chr	86679	87542	+
contig_84	MRS000084	MRS.Chr	87675	88214	-
contig_85	MRS000085	MRS.Chr	88356	89837	+
contig_86	MRS000086	MRS.Chr	89837	90370	+
contig_87	MRS000087	MRS.Chr	90458	90829	-
contig_88	MRS000088	MRS.Chr	90870	91856	-
contig_89	MRS000089	MRS.Chr	92019	92588	+
contig_90	MRS000090	MRS.Chr	92642	93664	-
contig_91	MRS000091	MRS.Chr	93714	94733	-
contig_92	MRS000092	MRS.Chr	95259	95828	-
contig_93	MRS000093	MRS.Chr	95851	96411	-
contig_94	MRS000094	MRS.Chr	96584	97585	+
contig_95	MRS000095	MRS.Chr	97601	98347	+
contig_96	MRS000096	MRS.Chr	98368	99429	+
contig_97	MRS000097	MRS.Chr	99532	101283	-
contig_98	MRS000098	MRS.Chr	101507	101971	-
contig_99	MRS000099	MRS.Chr	102100	102957	+
contig_100	MRS000100	MRS.Chr	103199	103882	+
contig_101	MRS000101	MRS.Chr	103965	104462	-
contig_102	MRS000102	MRS.Chr	104650	105462	+
contig_103	MRS000103	MRS.Chr	105482	106435	+
contig_104	MRS000104	MRS.Chr	106512	106994	+
contig_105	MRS000105	MRS.Chr	107033	107509	+
contig_106	MRS000106	MRS.Chr	107575	108183	-
contig_107	MRS000107	MRS.Chr	108308	108880	+
contig_108	MRS000108	MRS.Chr	108931	110322	+
contig_109	MRS000109	MRS.Chr	110443	110892	+
contig_110	MRS000110	MRS.Chr	110895	111542	+
contig_111	MRS000111	MRS.Chr	111527	112876	-
contig_112	MRS000112	MRS.Chr	113166	114134	-
contig_113	MRS000113	MRS.Chr	114399	115046	+
contig_114	MRS000114	MRS.Chr	115039	115800	+
contig_115	MRS000115	MRS.Chr	116029	117780	+
contig_116	MRS000116	MRS.Chr	118017	118661	+
contig_117	MRS000117	MRS.Chr	118723	119433	+
contig_118	MRS000118	MRS.Chr	119704	121140	-
contig_119	MRS000119	MRS.Chr	121478	121654	+
