CLOSPO_RS12580	contig1_1
CLOSPO_RS12585	contig1_2
CLOSPO_RS12590	contig1_3
CLOSPO_RS12595	contig1_4
CLOSPO_RS12600	contig1_5
CLOSPO_RS12605	contig1_6
CLOSPO_RS12610	contig1_7
CLOSPO_RS12615	contig1_8
CLOSPO_RS20445	contig1_9
CLOSPO_RS12625	contig1_10
CLOSPO_RS12630	contig1_11
CLOSPO_RS12635	contig1_12
CLOSPO_RS12640	contig1_13
CLOSPO_RS12645	contig1_14
CLOSPO_RS12650	contig1_15
CLOSPO_RS12655	contig1_16
CLOSPO_RS12660	contig1_17
CLOSPO_RS12665	contig1_18
CLOSPO_RS12670	contig1_19
CLOSPO_RS12675	contig1_20
CLOSPO_RS12680	contig1_21
CLOSPO_RS12685	contig1_22
CLOSPO_RS12690	contig1_23
CLOSPO_RS12695	contig1_24
CLOSPO_RS12700	contig1_25
CLOSPO_RS12705	contig1_26
CLOSPO_RS12710	contig1_27
CLOSPO_RS12715	contig1_28
CLOSPO_RS12720	contig1_29
CLOSPO_RS12725	contig1_30
CLOSPO_RS12730	contig1_31
CLOSPO_RS12735	contig1_32
CLOSPO_RS12740	contig1_33
CLOSPO_RS12745	contig1_34
CLOSPO_RS12750	contig1_35
CLOSPO_RS12755	contig1_36
CLOSPO_RS12760	contig1_37
CLOSPO_RS12765	contig1_38
CLOSPO_RS12770	contig1_39
CLOSPO_RS12775	contig1_40
CLOSPO_RS12780	contig1_41
CLOSPO_RS12785	contig1_42
CLOSPO_RS12790	contig1_43
CLOSPO_RS12795	contig1_44
CLOSPO_RS12800	contig1_45
CLOSPO_RS12805	contig1_46
CLOSPO_RS12810	contig1_47
CLOSPO_RS12815	contig1_48
CLOSPO_RS12820	contig1_49
CLOSPO_RS12825	contig1_50
CLOSPO_RS12830	contig1_51
CLOSPO_RS12835	contig1_52
CLOSPO_RS12840	contig1_53
CLOSPO_RS12845	contig1_54
CLOSPO_RS12850	contig1_55
CLOSPO_RS12855	contig1_56
CLOSPO_RS12860	contig1_57
CLOSPO_RS12865	contig1_58
CLOSPO_RS12870	contig1_59
CLOSPO_RS12875	contig1_60
CLOSPO_RS12880	contig1_61
CLOSPO_RS12885	contig1_62
CLOSPO_RS12890	contig1_63
CLOSPO_RS12895	contig1_64
CLOSPO_RS12900	contig1_65
CLOSPO_RS12905	contig1_66
CLOSPO_RS12910	contig1_67
CLOSPO_RS12915	contig1_68
CLOSPO_RS12920	contig1_69
CLOSPO_RS12925	contig1_70
CLOSPO_RS12930	contig1_71
CLOSPO_RS12935	contig1_72
CLOSPO_RS12940	contig1_73
CLOSPO_RS12945	contig1_74
CLOSPO_RS12950	contig1_75
CLOSPO_RS12955	contig1_76
CLOSPO_RS12960	contig1_77
CLOSPO_RS12965	contig1_78
CLOSPO_RS12970	contig1_79
CLOSPO_RS12975	contig1_80
CLOSPO_RS12980	contig1_81
CLOSPO_RS12985	contig1_82
CLOSPO_RS12990	contig1_83
CLOSPO_RS12995	contig1_84
CLOSPO_RS13000	contig1_85
CLOSPO_RS13005	contig1_86
CLOSPO_RS13010	contig1_87
CLOSPO_RS13015	contig1_88
CLOSPO_RS13020	contig1_89
CLOSPO_RS13025	contig1_90
CLOSPO_RS13030	contig1_91
CLOSPO_RS13035	contig1_92
CLOSPO_RS13040	contig1_93
CLOSPO_RS13045	contig1_94
CLOSPO_RS13050	contig1_95
CLOSPO_RS13055	contig1_96
CLOSPO_RS13060	contig1_97
CLOSPO_RS19440	contig1_98
CLOSPO_RS13070	contig1_99
CLOSPO_RS13075	contig1_100
CLOSPO_RS13080	contig1_101
CLOSPO_RS13085	contig1_102
CLOSPO_RS13090	contig1_103
CLOSPO_RS13095	contig1_104
CLOSPO_RS13100	contig1_105
CLOSPO_RS13105	contig1_106
CLOSPO_RS13110	contig1_107
CLOSPO_RS13115	contig1_108
CLOSPO_RS13120	contig1_109
CLOSPO_RS13125	contig1_110
CLOSPO_RS13130	contig1_111
CLOSPO_RS13135	contig1_112
CLOSPO_RS13140	contig1_113
CLOSPO_RS13145	contig1_114
CLOSPO_RS13150	contig1_115
CLOSPO_RS13155	contig1_116
CLOSPO_RS13160	contig1_117
CLOSPO_RS13165	contig1_118
CLOSPO_RS13170	contig1_119
CLOSPO_RS13175	contig1_120
CLOSPO_RS13180	contig1_121
CLOSPO_RS13185	contig1_122
CLOSPO_RS13190	contig1_123
CLOSPO_RS13195	contig1_124
CLOSPO_RS13200	contig1_125
CLOSPO_RS13205	contig1_126
CLOSPO_RS13210	contig1_127
CLOSPO_RS13215	contig1_128
CLOSPO_RS13220	contig1_129
CLOSPO_RS13225	contig1_130
CLOSPO_RS13230	contig1_131
CLOSPO_RS13235	contig1_132
CLOSPO_RS13240	contig1_133
CLOSPO_RS13245	contig1_134
CLOSPO_RS13250	contig1_135
CLOSPO_RS13255	contig1_136
CLOSPO_RS13260	contig1_137
CLOSPO_RS13265	contig1_138
CLOSPO_RS13270	contig1_139
CLOSPO_RS13275	contig1_140
CLOSPO_RS13280	contig1_141
CLOSPO_RS13285	contig1_142
CLOSPO_RS13290	contig1_143
CLOSPO_RS13295	contig1_144
CLOSPO_RS13300	contig1_145
CLOSPO_RS13305	contig1_146
CLOSPO_RS13310	contig1_147
CLOSPO_RS13315	contig1_148
CLOSPO_RS20230	contig1_149
CLOSPO_RS13320	contig1_150
CLOSPO_RS13325	contig1_151
CLOSPO_RS13330	contig1_152
CLOSPO_RS13335	contig1_153
CLOSPO_RS13340	contig1_154
CLOSPO_RS13345	contig1_155
CLOSPO_RS13350	contig1_156
CLOSPO_RS13355	contig1_157
CLOSPO_RS13360	contig1_158
CLOSPO_RS13365	contig1_159
CLOSPO_RS13370	contig1_160
CLOSPO_RS19800	contig1_161
CLOSPO_RS13380	contig1_162
CLOSPO_RS13385	contig1_163
CLOSPO_RS13390	contig1_164
CLOSPO_RS13395	contig1_165
CLOSPO_RS13400	contig1_166
CLOSPO_RS13405	contig1_167
CLOSPO_RS13410	contig1_168
CLOSPO_RS13415	contig1_169
CLOSPO_RS13420	contig1_170
CLOSPO_RS13425	contig1_171
CLOSPO_RS13430	contig1_172
CLOSPO_RS13435	contig1_173
CLOSPO_RS13440	contig1_174
CLOSPO_RS13445	contig1_175
CLOSPO_RS13450	contig1_176
CLOSPO_RS13455	contig1_177
CLOSPO_RS13460	contig1_178
CLOSPO_RS20235	contig1_179
CLOSPO_RS20240	contig1_180
CLOSPO_RS13470	contig1_181
CLOSPO_RS13475	contig1_182
CLOSPO_RS13480	contig1_183
CLOSPO_RS13485	contig1_184
CLOSPO_RS13490	contig1_185
CLOSPO_RS13495	contig1_186
CLOSPO_RS19990	contig1_187
CLOSPO_RS13500	contig1_188
CLOSPO_RS13505	contig1_189
CLOSPO_RS13510	contig1_190
CLOSPO_RS13515	contig1_191
CLOSPO_RS19805	contig1_192
CLOSPO_RS13520	contig1_193
CLOSPO_RS13525	contig1_194
CLOSPO_RS13530	contig1_195
CLOSPO_RS13535	contig1_196
CLOSPO_RS13540	contig1_197
CLOSPO_RS13545	contig1_198
CLOSPO_RS13550	contig1_199
CLOSPO_RS13555	contig1_200
CLOSPO_RS13560	contig1_201
CLOSPO_RS13565	contig1_202
CLOSPO_RS13570	contig1_203
CLOSPO_RS13575	contig1_204
CLOSPO_RS13580	contig1_205
CLOSPO_RS13585	contig1_206
CLOSPO_RS13590	contig1_207
CLOSPO_RS13595	contig1_208
CLOSPO_RS13600	contig1_209
CLOSPO_RS13605	contig1_210
CLOSPO_RS13610	contig1_211
CLOSPO_RS13615	contig1_212
CLOSPO_RS13620	contig1_213
CLOSPO_RS13625	contig1_214
CLOSPO_RS13630	contig1_215
CLOSPO_RS13635	contig1_216
CLOSPO_RS13640	contig1_217
CLOSPO_RS13645	contig1_218
CLOSPO_RS13650	contig1_219
CLOSPO_RS13655	contig1_220
CLOSPO_RS13660	contig1_221
CLOSPO_RS13665	contig1_222
CLOSPO_RS13670	contig1_223
CLOSPO_RS13675	contig1_224
CLOSPO_RS13680	contig1_225
CLOSPO_RS13685	contig1_226
CLOSPO_RS13690	contig1_227
CLOSPO_RS13695	contig1_228
CLOSPO_RS20245	contig1_229
CLOSPO_RS13705	contig1_230
CLOSPO_RS13710	contig1_231
CLOSPO_RS13715	contig1_232
CLOSPO_RS13720	contig1_233
CLOSPO_RS13725	contig1_234
CLOSPO_RS13730	contig1_235
CLOSPO_RS13735	contig1_236
CLOSPO_RS13740	contig1_237
CLOSPO_RS13745	contig1_238
CLOSPO_RS13750	contig1_239
